Total Points,Best Ratio (Default),Min Error (Default),Best Ratio (Residual),Min Error (Residual),Best Ratio (Boundary Residual),Min Error (Boundary Residual),Best Ratio (Max of Res & BRes),Min Error (Max of Res & BRes)
100,0.4,0.0017841773712276021,0.0,0.2985660225130706,1.0,1.4699529322384958e-21,0.0,0.2985660225130706
200,0.2,1.7220182291999286e-05,0.0,0.0027177884594351692,1.0,1.666524615074059e-22,0.1,0.013453084013183384
300,0.2,1.0300808170882192e-06,0.0,0.0002748502103952638,1.0,9.90629306359175e-23,0.1,0.0004896568070697077
400,0.3,1.3293186640339627e-07,0.0,0.00011147014165412139,1.0,1.1374450337895036e-22,0.1,0.00028699995004072276
500,0.4,1.6297915550467224e-07,0.0,1.3755082366377954e-05,1.0,1.2675553733186333e-22,0.1,9.397503243943617e-05
600,0.5,1.3776970320122928e-07,0.0,1.4036682928192932e-05,1.0,1.3166099945122054e-22,0.1,2.5281301986979088e-05
700,0.2,5.929260282755422e-08,0.0,1.3528938210581829e-05,1.0,1.3242311402745003e-22,0.2,2.5066598482226254e-05
800,0.3,4.655466057101876e-08,0.0,1.2519254219477326e-05,1.0,1.1692549347138909e-22,0.3,2.5146685175059247e-05
900,0.4,2.5115660670168963e-08,0.0,9.18750051891142e-06,1.0,1.1408170670605251e-22,0.1,2.3970108145476843e-05
1000,0.4,3.415456717448251e-08,0.0,6.039204367304046e-06,1.0,1.154730932597941e-22,0.1,1.9004743080586195e-05
1100,0.5,3.345648735830764e-08,0.0,2.9976115346928776e-06,1.0,1.151380734996776e-22,0.1,1.2847582411268377e-05
1200,0.4,3.0308051179872564e-08,0.0,2.9544152278192184e-06,1.0,1.1401718687417118e-22,0.1,5.358040198188974e-06
1300,0.6,1.6040364155886336e-08,0.0,1.989093289913304e-06,1.0,1.1390757670527765e-22,0.1,5.340403731679544e-06
1400,0.5,2.5664391500868078e-08,0.0,1.9307036646755047e-06,1.0,1.1384828291210904e-22,0.1,3.5883738291886402e-06
1500,0.6,2.3931161052814787e-08,0.0,1.8852331398282606e-06,1.0,1.1724045471716452e-22,0.1,3.5714083423954435e-06
1600,0.4,2.2438726432483236e-08,0.0,1.5946682654921265e-06,1.0,1.197217844993441e-22,0.1,3.532912842274527e-06
1700,0.7,1.6266825228003326e-08,0.0,1.5593824913737863e-06,1.0,1.1874696477198587e-22,0.1,3.3709629860823043e-06
1800,0.7,1.4443202197641896e-08,0.0,1.5307249554878575e-06,1.0,1.184137521442918e-22,0.1,3.3677199553494575e-06
1900,0.5,1.637406654708684e-08,0.0,1.4365943067302456e-06,1.0,1.1087761876630892e-22,0.1,3.291926987003535e-06
2000,0.5,1.699534024623972e-08,0.0,1.4699967341522784e-06,1.0,8.638308351416065e-23,0.1,3.2801576708152425e-06
